,Rating,Company Name,Job Title,Salary,Location,Employment_status,Job_roles,Rank,Local Purchasing Power Index,Total Expenses,Salary-to-Expenses Ratio,Salary-to-Purchasing Power Ratio
101,4.1,Tata,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
102,4.1,Kruzr,Android Developer,228000,Bangalore,Full Time,Android,21,131.8,82.0,2780.49,1729.89
103,4.0,NimbusParc TechnoLab,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
104,3.3,NvestCampus,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
105,4.4,nth Exam,Android Developer - Intern,252000,Bangalore,Intern,Android,21,131.8,82.0,3073.17,1911.99
106,4.0,Walmart Global Tech,Android Developer,2300000,Bangalore,Full Time,Android,21,131.8,82.0,28048.78,17450.68
107,4.0,ThreeFiveEight,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
108,4.0,Familybirdz Tech,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
109,3.4,Photon,Android Developer,1000000,Bangalore,Full Time,Android,21,131.8,82.0,12195.12,7587.25
110,4.0,Matcoms labs,Android Developer - Intern,84000,Bangalore,Intern,Android,21,131.8,82.0,1024.39,637.33
111,4.5,Money View,Android Developer - Intern,468000,Bangalore,Intern,Android,21,131.8,82.0,5707.32,3550.83
112,4.6,Masai School,Android Developer - Intern,800000,Bangalore,Intern,Android,21,131.8,82.0,9756.10,6069.80
113,4.7,Sanjay Kandoth MD,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
114,4.2,Volvo Group,Android Developer,900000,Bangalore,Full Time,Android,21,131.8,82.0,10975.61,6828.53
115,3.6,Quess,Android Developer - Contractor,700000,Bangalore,Contractor,Android,21,131.8,82.0,8536.59,5311.08
116,3.9,OnMobile,Android Developer,900000,Bangalore,Full Time,Android,21,131.8,82.0,10975.61,6828.53
117,3.5,Nymo,Android Developer,700000,Bangalore,Full Time,Android,21,131.8,82.0,8536.59,5311.08
118,4.3,Immerpact,Android Developer,264000,Bangalore,Full Time,Android,21,131.8,82.0,3219.51,2003.03
119,4.5,FinBox,Android Developer - Intern,240000,Bangalore,Intern,Android,21,131.8,82.0,2926.83,1820.94
120,4.4,Webloom,Android Developer,600000,Bangalore,Full Time,Android,21,131.8,82.0,7317.07,4552.35
121,3.8,Hexwhale,Android Developer,120000,Bangalore,Full Time,Android,21,131.8,82.0,1463.41,910.47
122,4.5,Indian Institute of Science,Android Developer,408000,Bangalore,Full Time,Android,21,131.8,82.0,4975.61,3095.60
123,3.9,Landmark Group,Android Developer - Contractor,1000000,Bangalore,Contractor,Android,21,131.8,82.0,12195.12,7587.25
124,4.1,Codeinks Software,Android Developer,228000,Bangalore,Full Time,Android,21,131.8,82.0,2780.49,1729.89
125,3.9,Zyoin,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
126,4.1,Adjetter,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
127,3.9,Ultimate tek Solutions,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
128,3.8,Bounce,Android Developer,700000,Bangalore,Full Time,Android,21,131.8,82.0,8536.59,5311.08
129,2.4,iServices,Android Developer - Contractor,500000,Bangalore,Contractor,Android,21,131.8,82.0,6097.56,3793.63
130,3.9,IonIdea,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
131,3.7,inGen Dynamics,Android Developer,228000,Bangalore,Full Time,Android,21,131.8,82.0,2780.49,1729.89
132,3.8,ITC,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
133,5.0,ID Foundry,Android Developer,600000,Bangalore,Full Time,Android,21,131.8,82.0,7317.07,4552.35
134,3.4,FanFight,Android Developer,1000000,Bangalore,Full Time,Android,21,131.8,82.0,12195.12,7587.25
135,4.8,Intugine Technologies,Android Developer - Intern,216000,Bangalore,Intern,Android,21,131.8,82.0,2634.15,1638.85
136,4.0,Deloitte,Android Developer,1200000,Bangalore,Full Time,Android,21,131.8,82.0,14634.15,9104.70
137,4.3,Noon Academy,Android Developer,1300000,Bangalore,Full Time,Android,21,131.8,82.0,15853.66,9863.43
138,3.5,Allstate,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
139,3.7,NIIT,Android Developer,120000,Bangalore,Full Time,Android,21,131.8,82.0,1463.41,910.47
140,2.4,Chromozome Network,Android Developer,192000,Bangalore,Full Time,Android,21,131.8,82.0,2341.46,1456.75
141,4.1,MoEngage,Android Developer,1000000,Bangalore,Full Time,Android,21,131.8,82.0,12195.12,7587.25
142,4.0,Maven Cluster Software,Android Developer,200000,Bangalore,Full Time,Android,21,131.8,82.0,2439.02,1517.45
143,3.0,Nerve Centrex Software,Android Developer,600000,Bangalore,Full Time,Android,21,131.8,82.0,7317.07,4552.35
144,4.1,Nitish Verma,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
145,4.1,First Student,Android Developer - Intern,2200000,Bangalore,Intern,Android,21,131.8,82.0,26829.27,16691.96
146,4.1,Sulopa Solutions,Android Developer,144000,Bangalore,Full Time,Android,21,131.8,82.0,1756.10,1092.56
147,2.2,ZINOHA PHARMACY,Android Developer,672000,Bangalore,Full Time,Android,21,131.8,82.0,8195.12,5098.63
148,4.2,Tarento,Android Developer,312000,Bangalore,Full Time,Android,21,131.8,82.0,3804.88,2367.22
149,4.0,Freshers.com,Android Developer,348000,Bangalore,Full Time,Android,21,131.8,82.0,4243.90,2640.36
150,3.8,Kavin Corporation,Android Developer,480000,Bangalore,Full Time,Android,21,131.8,82.0,5853.66,3641.88
151,4.0,Mantra Labs,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
152,3.3,Ola,Android Developer,200000,Bangalore,Full Time,Android,21,131.8,82.0,2439.02,1517.45
153,3.8,Amazon,Android Developer,228000,Bangalore,Full Time,Android,21,131.8,82.0,2780.49,1729.89
154,4.4,Alfalasi Tech,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
155,5.0,Qualtech Telesys,Android Developer,408000,Bangalore,Full Time,Android,21,131.8,82.0,4975.61,3095.60
156,4.0,Insigma Vision,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
157,5.0,Cogcons,Android Developer,432000,Bangalore,Full Time,Android,21,131.8,82.0,5268.29,3277.69
158,3.1,Thampy Digital,Android Developer,900000,Bangalore,Full Time,Android,21,131.8,82.0,10975.61,6828.53
159,2.7,Khosla Labs,Android Developer,800000,Bangalore,Full Time,Android,21,131.8,82.0,9756.10,6069.80
160,4.5,Mindera,Android Developer,600000,Bangalore,Full Time,Android,21,131.8,82.0,7317.07,4552.35
161,4.4,Microsoft,Android Developer,2100000,Bangalore,Full Time,Android,21,131.8,82.0,25609.76,15933.23
162,3.7,Paytm Money,Android Developer,1900000,Bangalore,Full Time,Android,21,131.8,82.0,23170.73,14415.78
163,4.6,Magna Health Solutions,Android Developer,180000,Bangalore,Full Time,Android,21,131.8,82.0,2195.12,1365.71
164,3.7,Fujitsu,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
165,4.0,AppiVa Software,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
166,4.0,IrisActive Communications,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
167,5.0,Synxgen,Android Developer,252000,Bangalore,Full Time,Android,21,131.8,82.0,3073.17,1911.99
168,4.0,Arcomatic,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
169,3.9,Zvky Design,Android Developer,200000,Bangalore,Full Time,Android,21,131.8,82.0,2439.02,1517.45
170,3.6,Apogee Global,Android Developer,192000,Bangalore,Full Time,Android,21,131.8,82.0,2341.46,1456.75
171,3.6,Varadhi Smartek,Android Developer,100000,Bangalore,Full Time,Android,21,131.8,82.0,1219.51,758.73
172,4.0,Practo Technologies,Android Developer,900000,Bangalore,Full Time,Android,21,131.8,82.0,10975.61,6828.53
173,4.3,IT Contractors,Android Developer,360000,Bangalore,Full Time,Android,21,131.8,82.0,4390.24,2731.41
174,4.0,Meesho,Android Developer,1400000,Bangalore,Full Time,Android,21,131.8,82.0,17073.17,10622.15
175,4.6,Citrin Technologies,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
176,4.8,LocalRamu,Android Developer,252000,Bangalore,Full Time,Android,21,131.8,82.0,3073.17,1911.99
177,4.2,21North Europ Assistance,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
178,4.5,CRED,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
179,3.1,Inquirly,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
180,3.0,ASZ Technologies,Android Developer,800000,Bangalore,Full Time,Android,21,131.8,82.0,9756.10,6069.80
181,3.2,Geepas,Android Developer,408000,Bangalore,Full Time,Android,21,131.8,82.0,4975.61,3095.60
182,4.2,CodeGama,Android Developer,624000,Bangalore,Full Time,Android,21,131.8,82.0,7609.76,4734.45
183,3.8,Globex Digital Solutions,Android Developer,1400000,Bangalore,Full Time,Android,21,131.8,82.0,17073.17,10622.15
184,4.4,Mentric Group,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
185,4.2,Across The Globe,Android Developer,240768,Bangalore,Full Time,Android,21,131.8,82.0,2936.20,1826.77
186,5.0,MyCotra,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
187,4.3,Youth Empowerment Foundation,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
188,5.0,Cloud Can Technologies,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
189,3.6,ZipGo,Android Developer,600000,Bangalore,Full Time,Android,21,131.8,82.0,7317.07,4552.35
190,4.0,HostRider,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
191,3.9,PayCraft Solutions,Android Developer,1000000,Bangalore,Full Time,Android,21,131.8,82.0,12195.12,7587.25
192,4.0,teleChikitsa,Android Developer,216000,Bangalore,Full Time,Android,21,131.8,82.0,2634.15,1638.85
193,3.8,DynPro,Android Developer,800000,Bangalore,Full Time,Android,21,131.8,82.0,9756.10,6069.80
194,3.0,eValai Infotech,Android Developer,576000,Bangalore,Full Time,Android,21,131.8,82.0,7024.39,4370.26
195,4.0,Hughes Systique,Android Developer,720000,Bangalore,Full Time,Android,21,131.8,82.0,8780.49,5462.82
196,4.5,Amli Network,Android Developer,2000000,Bangalore,Full Time,Android,21,131.8,82.0,24390.24,15174.51
197,4.1,SmartQ,Android Developer,600000,Bangalore,Full Time,Android,21,131.8,82.0,7317.07,4552.35
198,3.7,Wisdomleaf Technologies,Android Developer,744000,Bangalore,Full Time,Android,21,131.8,82.0,9073.17,5644.92
199,2.4,Travelyaari,Android Developer - Contractor,1200000,Bangalore,Contractor,Android,21,131.8,82.0,14634.15,9104.70
200,3.1,Nation Learns,Android Developer,216000,Bangalore,Full Time,Android,21,131.8,82.0,2634.15,1638.85
201,4.2,Rapido,Android Developer,1100000,Bangalore,Full Time,Android,21,131.8,82.0,13414.63,8345.98
202,2.8,Docket Tech,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
203,3.7,QuickRide,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
204,3.5,Six Dee Telecom Solutions,Android Developer,720000,Bangalore,Full Time,Android,21,131.8,82.0,8780.49,5462.82
205,3.7,Food Vybe,Android Developer - Intern,120000,Bangalore,Intern,Android,21,131.8,82.0,1463.41,910.47
206,3.9,Tettares Software Solutions,Android Developer - Intern,144000,Bangalore,Intern,Android,21,131.8,82.0,1756.10,1092.56
207,3.7,Center Parcs,Android Developer - Intern,120000,Bangalore,Intern,Android,21,131.8,82.0,1463.41,910.47
208,4.6,slice,Android Developer - Intern,636000,Bangalore,Intern,Android,21,131.8,82.0,7756.10,4825.49
209,4.0,Tala,Android Developer - Contractor,1000000,Bangalore,Contractor,Android,21,131.8,82.0,12195.12,7587.25
210,3.3,The Otherside,Android Developer,200000,Bangalore,Full Time,Android,21,131.8,82.0,2439.02,1517.45
211,4.4,FP Tech Science,Android Developer,7100000,Bangalore,Full Time,Android,21,131.8,82.0,86585.37,53869.50
212,3.2,Qleverlabs Technologies,Android Developer,600000,Bangalore,Full Time,Android,21,131.8,82.0,7317.07,4552.35
213,3.2,ZopNow,Android Developer,1200000,Bangalore,Full Time,Android,21,131.8,82.0,14634.15,9104.70
214,4.9,Spinta Digital,Android Developer,360000,Bangalore,Full Time,Android,21,131.8,82.0,4390.24,2731.41
215,4.5,Groww,Android Developer - Intern,708000,Bangalore,Intern,Android,21,131.8,82.0,8634.15,5371.78
216,4.0,nothing,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
217,1.8,Prowide Solutions,Android Developer,900000,Bangalore,Full Time,Android,21,131.8,82.0,10975.61,6828.53
218,3.0,Teligenz Tech Solutions,Android Developer,180000,Bangalore,Full Time,Android,21,131.8,82.0,2195.12,1365.71
219,3.5,Vebbler,Android Developer,1300000,Bangalore,Full Time,Android,21,131.8,82.0,15853.66,9863.43
220,4.3,Melio Systems,Android Developer,228000,Bangalore,Full Time,Android,21,131.8,82.0,2780.49,1729.89
221,4.0,Uniservice Technology Solutions,Android Developer,600000,Bangalore,Full Time,Android,21,131.8,82.0,7317.07,4552.35
222,4.1,HealthifyMe,Android Developer,800000,Bangalore,Full Time,Android,21,131.8,82.0,9756.10,6069.80
223,5.0,Simtech Solutions,Android Developer,648000,Bangalore,Full Time,Android,21,131.8,82.0,7902.44,4916.54
224,2.9,MMAD Apps,Android Developer,288000,Bangalore,Full Time,Android,21,131.8,82.0,3512.20,2185.13
225,4.8,Intugine Technologies,Android Developer,372000,Bangalore,Full Time,Android,21,131.8,82.0,4536.59,2822.46
226,3.7,Blue Rose Technologies,Android Developer,1300000,Bangalore,Full Time,Android,21,131.8,82.0,15853.66,9863.43
227,5.0,Talent Zone Consultants,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
228,3.9,Aspire Software Consultancy,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
229,3.6,Wenzins,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
230,4.0,Launchers World Software,Android Developer,192000,Bangalore,Full Time,Android,21,131.8,82.0,2341.46,1456.75
231,4.3,Grab,Android Developer,1200000,Bangalore,Full Time,Android,21,131.8,82.0,14634.15,9104.70
232,4.0,Mindtree,Android Developer - Contractor,600000,Bangalore,Contractor,Android,21,131.8,82.0,7317.07,4552.35
233,3.5,Easoftech Solutions,Android Developer,600000,Bangalore,Full Time,Android,21,131.8,82.0,7317.07,4552.35
234,5.0,Rusé Home,Android Developer,600000,Bangalore,Full Time,Android,21,131.8,82.0,7317.07,4552.35
235,4.9,TIGI HR Solution,Android Developer,504000,Bangalore,Full Time,Android,21,131.8,82.0,6146.34,3823.98
236,4.4,QTalk,Android Developer - Intern,288000,Bangalore,Intern,Android,21,131.8,82.0,3512.20,2185.13
237,4.1,Ubona,Android Developer,1400000,Bangalore,Full Time,Android,21,131.8,82.0,17073.17,10622.15
238,4.5,KSJ Technology,Android Developer - Contractor,500000,Bangalore,Contractor,Android,21,131.8,82.0,6097.56,3793.63
239,4.4,Dozee,Android Developer,444000,Bangalore,Full Time,Android,21,131.8,82.0,5414.63,3368.74
